record,age,sex,grade,race4,qn16,qn17,qn19,qn20,qn21,qn24,qn25,qn27,qn28,qn29,qn30,qn33,qn37,qn43,qn45,qn47,qn50,qn51,qn52,qn53,qn54,qn55,qn56,qn57
1115945,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,2,2
1115946,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
1115947,3,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1115948,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,2,2,2,2,2,2,2
1115949,3,2,1,4,1,2,1,1,2,2,2,2,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2
1115950,3,2,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1115951,3,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115952,3,2,1,2,2,2,2,2,2,1,1,1,2,NA,NA,NA,NA,1,2,1,1,2,1,1,2,1,1,2
1115953,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115954,3,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,2,1,2,2,2,1,2,2,2,2,1,2
1115955,3,2,1,2,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115956,3,2,1,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115957,3,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1115958,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115959,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115960,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115961,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115962,3,2,2,2,2,2,2,2,1,2,2,2,NA,NA,1,NA,1,1,2,1,1,1,1,1,1,2,1,1
1115963,3,2,1,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115964,4,2,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
1115965,4,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115966,4,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115967,4,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1
1115968,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115969,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1115970,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115971,4,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1115972,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2
1115973,4,2,2,3,1,1,2,1,1,1,1,2,2,2,2,NA,2,1,2,1,2,1,2,2,2,2,2,2
1115974,4,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1115975,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115976,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
