record,age,sex,grade,race4,qn16,qn17,qn19,qn20,qn21,qn24,qn25,qn27,qn28,qn29,qn30,qn33,qn37,qn43,qn45,qn47,qn50,qn51,qn52,qn53,qn54,qn55,qn56,qn57
1116111,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116112,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116113,5,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116114,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116115,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
1116116,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116117,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116118,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116119,5,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,NA,2,NA,2,2,2,2,1,2,1,1
1116120,5,2,2,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,1,2,1,2,2,2,2,2,2,2,2
1116121,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116122,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2
1116123,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116124,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116125,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1116126,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2
1116127,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116128,5,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116129,5,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,1,2,2,2
1116130,5,2,2,3,2,2,2,2,2,2,2,1,1,2,2,NA,2,1,1,1,1,2,2,2,2,2,1,2
1116131,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116132,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116133,5,2,3,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116134,5,2,3,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1116135,5,2,2,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116136,5,2,1,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116137,5,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116138,5,2,2,3,NA,2,2,2,2,2,2,1,2,NA,NA,2,1,1,NA,1,1,1,2,2,1,2,2,2
1116139,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116140,5,2,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
1116141,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116142,5,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116143,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116144,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116145,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116146,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116147,5,2,3,3,2,2,2,2,2,2,2,2,2,NA,NA,1,1,1,2,1,2,2,2,2,2,2,2,2
1116148,5,2,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116149,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116150,5,2,2,NA,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116151,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,NA,2,2,2,2,2,2,2,2
1116152,5,2,1,2,1,2,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,2,2,1,2,1,2,1,2,2,2
1116153,5,2,2,4,2,2,2,2,2,2,2,2,1,NA,NA,2,2,2,2,NA,2,2,2,2,2,2,2,2
1116154,5,2,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,1,NA,NA,1,2,2,2,2,2,2,2,2
1116155,5,2,2,3,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1116156,5,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2
1116157,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116158,5,2,NA,2,2,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116159,5,2,2,3,2,2,1,1,1,2,2,2,1,NA,NA,2,2,1,2,1,2,2,2,2,2,2,2,2
1116160,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,2,1,2,2,2,2,2,2,2,2
1116161,5,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116162,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,NA,1,2,2,2,2,1,2,1,2
1116163,5,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116164,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,NA,2,2,1,2,2,2,2,2,2,2,2
1116165,5,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116166,5,2,1,3,2,2,1,2,2,2,1,2,2,NA,NA,2,2,NA,NA,1,1,NA,2,2,NA,1,1,NA
1116167,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116168,5,2,3,4,2,2,2,1,2,2,2,2,2,2,2,2,NA,1,2,1,2,2,2,2,2,2,2,2
1116169,5,2,3,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,2,2,2,2,2,2,2,2,2,2
1116170,5,2,3,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116171,5,2,3,2,1,2,1,1,1,2,NA,NA,NA,1,2,NA,2,NA,NA,NA,2,1,1,1,1,1,1,NA
1116172,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116173,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,NA,2,1,2,2,2,2,2,2,2,2
1116174,5,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2
1116175,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116176,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116177,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116178,5,2,2,2,NA,2,2,2,2,2,2,2,2,NA,NA,2,2,1,2,1,2,2,2,2,2,2,2,2
1116179,5,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1116180,5,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116181,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116182,5,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116183,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1116184,5,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,NA,NA,1,2,2,2,2,2,2,1,2
1116185,5,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116186,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116187,5,2,2,4,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2
1116188,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116189,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116190,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116191,5,2,3,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,1,2,2,2,2,2,2,2,2
1116192,5,2,3,1,2,2,2,2,2,2,2,2,2,NA,NA,1,1,1,2,1,2,2,2,2,2,2,2,2
1116193,5,2,3,3,2,2,2,1,2,2,1,2,2,2,2,NA,2,1,2,1,2,2,2,2,1,2,2,2
1116194,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2
1116195,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116196,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116197,5,2,2,2,2,2,2,NA,1,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116198,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1116199,5,2,NA,4,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
1116200,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116201,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,1,1,2,2,2,2,2,2
1116202,5,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116203,5,2,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116204,5,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1116205,5,2,2,2,1,1,2,1,NA,2,1,1,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2
1116206,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116207,5,2,2,2,2,2,2,2,2,1,1,1,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116208,5,2,3,3,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,2
1116209,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116210,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2
1116211,5,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,NA,NA,NA,NA
1116212,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116213,5,2,3,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116214,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2
1116215,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116216,5,2,2,2,1,1,2,1,1,1,NA,NA,2,NA,NA,NA,2,NA,NA,2,2,2,2,2,1,2,1,2
1116217,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116218,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116219,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,2,2,2,2,2,2,1,2
1116220,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2
1116221,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,NA,2,2,2,2,2,2,1,2
1116222,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116223,5,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,NA,1,2,1,2,1,1,1,1,2,1,2
1116224,5,2,3,2,1,1,2,1,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2
1116225,5,2,3,4,1,2,2,2,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,1,1,1,1,2
1116226,5,2,3,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,1,2,2,2,NA,2,1,2
1116227,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116228,5,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116229,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1116230,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,NA,1,1,2,1,2,2,2,2,2,2,2,2
1116231,5,2,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116232,5,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
1116233,5,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116234,6,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116235,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116236,6,2,4,3,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2
1116237,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116238,6,2,4,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
1116239,6,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116240,6,2,3,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116241,6,2,3,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116242,6,2,NA,3,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1
1116243,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116244,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2
1116245,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116246,6,2,4,3,2,2,2,2,1,2,2,2,2,NA,NA,NA,2,NA,NA,NA,1,2,2,1,2,1,2,1
1116247,6,2,3,3,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2
1116248,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116249,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116250,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1116251,6,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116252,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2
1116253,6,2,3,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2
1116254,6,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116255,6,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2
1116256,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
1116257,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116258,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116259,6,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116260,6,2,4,4,2,2,2,1,2,1,1,1,1,1,2,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116261,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
1116262,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,2,2
1116263,6,2,3,3,2,2,2,2,2,2,2,2,2,NA,NA,1,2,1,2,2,2,2,2,2,2,2,2,2
1116264,6,2,4,2,2,2,2,2,1,1,1,1,1,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116265,6,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2
1116266,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116267,6,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116268,6,2,3,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116269,6,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116270,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116271,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116272,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116273,6,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116274,6,2,3,2,2,2,2,1,2,1,1,2,2,2,2,2,NA,1,2,1,2,2,2,1,1,1,2,NA
1116275,6,2,4,NA,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2
1116276,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,1,2,2,2,1,2,2,2
1116277,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
1116278,6,2,4,3,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2
1116279,6,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116280,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,NA,2,1,2,2,2,2,2,2,1,2
1116281,6,2,4,2,2,2,1,1,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,1,2
1116282,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116283,6,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116284,6,2,3,2,1,2,1,NA,1,2,1,2,2,1,2,NA,2,2,2,1,2,2,2,2,2,2,2,2
1116285,6,2,3,2,1,2,1,NA,2,2,2,2,2,2,2,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116286,6,2,3,2,2,1,2,2,1,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116287,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116288,6,2,3,2,2,2,2,1,1,2,1,2,2,NA,NA,2,2,1,2,NA,1,2,2,2,2,2,2,2
1116289,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116290,6,2,3,2,NA,2,1,1,1,2,1,1,2,2,2,NA,1,NA,NA,NA,1,2,1,2,1,1,1,2
1116291,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1116292,6,2,3,3,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2
1116293,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116294,6,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2
1116295,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2
1116296,6,2,3,2,2,1,2,2,2,2,2,2,2,NA,NA,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116297,6,2,4,4,2,2,2,1,2,2,2,2,1,2,2,NA,2,1,NA,NA,2,2,2,2,2,2,2,2
1116298,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116299,6,2,4,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116300,6,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116301,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2
1116302,6,2,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116303,6,2,3,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,2
1116304,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116305,6,2,3,2,1,1,1,1,2,NA,1,2,2,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,1,2,2
1116306,6,2,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116307,6,2,2,2,2,2,2,1,2,2,2,2,2,NA,NA,1,2,2,2,1,2,2,2,2,1,1,1,2
1116308,6,2,4,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2
1116309,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2
1116310,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116311,6,2,3,4,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116312,6,2,4,3,2,2,2,1,2,2,2,2,2,NA,NA,NA,2,NA,NA,1,2,2,2,2,2,2,1,2
1116313,6,2,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116314,6,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2
1116315,6,2,4,1,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116316,6,2,3,3,2,2,1,1,2,2,2,1,2,2,2,NA,2,NA,NA,1,2,2,2,2,2,1,2,2
1116317,6,2,4,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,1,2,2,2,2,2,1,2,2,2,2,2
1116318,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116319,6,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116320,6,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116321,6,2,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
1116322,6,2,3,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116323,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,2
1116324,6,2,2,3,2,2,2,2,2,NA,2,1,2,2,2,1,2,NA,NA,1,2,1,2,2,2,2,1,2
1116325,6,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116326,6,2,4,1,2,2,2,2,2,2,2,1,2,2,2,2,NA,1,2,2,2,2,2,2,2,2,2,2
1116327,6,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,1,2,2,2,2,1,2,2,2
1116328,6,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116329,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116330,6,2,4,2,2,2,2,1,2,2,2,2,1,2,2,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116331,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,NA,2,2,2,2,2,2,2,2
1116332,6,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116333,6,2,4,3,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116334,6,2,3,2,1,2,1,1,2,2,2,2,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,2,2
1116335,6,2,2,2,2,2,2,1,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116336,6,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116337,6,2,3,3,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
